fid,lat,lon,80m_wind_speed,10m_wind_speed,difference_wind
"1","37.571","126.99","3.13","2.72",0.41
"2","37.517","126.885","3.45","2.81",0.64
"3","37.59","126.967","3.56","3.13",0.43
"4","37.581","126.967","3.43","2.93",0.5
"5","37.572","126.967","3.29","2.88",0.41
"6","37.572","126.979","3.16","2.77",0.39
"7","37.581","126.99","3.13","2.81",0.32
"8","37.59","126.979","3.35","3.05",0.3
"9","37.564","126.827","3.64","2.96",0.68
"10","37.564","126.839","3.64","2.98",0.66
"11","37.573","126.827","3.62","3",0.62
"12","37.573","126.839","3.68","3.02",0.66
"13","37.582","126.827","3.62","3.09",0.53
"14","37.554","126.827","3.6","2.97",0.63
"15","37.554","126.839","3.57","2.99",0.58
"16","37.545","126.815","3.67","2.97",0.7
"17","37.545","126.827","3.56","3",0.56
"18","37.555","126.815","3.67","2.94",0.73
"19","37.545","126.804","3.77","2.98",0.79
"20","37.555","126.804","3.76","2.99",0.77
"21","37.564","126.804","3.73","2.98",0.75
"22","37.564","126.816","3.65","2.92",0.73
"23","37.573","126.804","3.71","3.06",0.65
"24","37.573","126.816","3.63","3",0.63
"25","37.582","126.804","3.68","3.14",0.54
"26","37.582","126.816","3.57","3.09",0.48
"27","37.592","126.804","3.68","3.13",0.55
"28","37.591","126.816","3.62","3.14",0.48
"29","37.573","126.792","3.79","3.07",0.72
"30","37.601","126.804","3.76","3.1",0.66
"31","37.564","126.781","3.82","3.02",0.8
"32","37.564","126.792","3.8","3.03",0.77
"33","37.546","126.792","3.8","3.04",0.76
"34","37.555","126.769","3.81","3.02",0.79
"35","37.555","126.781","3.82","3.05",0.77
"36","37.555","126.792","3.81","3.03",0.78
"37","37.508","126.885","3.43","2.8",0.63
"38","37.48","126.884","3.38","2.79",0.59
"39","37.48","126.896","3.37","2.83",0.54
"40","37.49","126.873","3.4","2.81",0.59
"41","37.489","126.884","3.4","2.82",0.58
"42","37.489","126.896","3.36","2.8",0.56
"43","37.499","126.873","3.45","2.81",0.64
"44","37.499","126.884","3.42","2.82",0.6
"45","37.499","126.896","3.38","2.8",0.58
"46","37.508","126.873","3.46","2.81",0.65
"47","37.508","126.896","3.4","2.81",0.59
"48","37.499","126.85","3.41","2.97",0.44
"49","37.499","126.861","3.43","2.84",0.59
"50","37.508","126.85","3.41","2.91",0.5
"51","37.508","126.861","3.45","2.85",0.6
"52","37.49","126.838","3.43","3.01",0.42
"53","37.49","126.85","3.41","2.98",0.43
"54","37.49","126.861","3.38","2.86",0.52
"55","37.499","126.838","3.43","3.03",0.4
"56","37.49","126.826","3.38","2.99",0.39
"57","37.499","126.826","3.45","3.06",0.39
"58","37.508","126.826","3.58","3.14",0.44
"59","37.481","126.838","3.48","2.9",0.58
"60","37.481","126.826","3.42","2.92",0.5
"61","37.471","126.884","3.35","2.78",0.57
"62","37.471","126.896","3.37","2.85",0.52
"63","37.462","126.896","3.37","2.82",0.55
"64","37.462","126.907","3.32","2.92",0.4
"65","37.471","126.907","3.28","2.91",0.37
"66","37.48","126.908","3.28","2.86",0.42
"67","37.434","126.907","3.31","2.94",0.37
"68","37.443","126.907","3.34","2.97",0.37
"69","37.443","126.919","3.57","3.42",0.15
"70","37.452","126.895","3.37","2.77",0.6
"71","37.452","126.907","3.34","2.94",0.4
"72","37.452","126.919","3.62","3.33",0.29
"73","37.461","126.919","3.42","3.04",0.38
"74","37.517","126.908","3.39","2.85",0.54
"75","37.526","126.908","3.45","2.87",0.58
"76","37.517","126.92","3.37","2.87",0.5
"77","37.517","126.931","3.34","2.87",0.47
"78","37.517","126.943","3.33","2.9",0.43
"79","37.526","126.92","3.44","2.89",0.55
"80","37.526","126.931","3.45","2.9",0.55
"81","37.526","126.943","3.46","2.95",0.51
"82","37.535","126.908","3.53","2.93",0.6
"83","37.535","126.92","3.54","3.03",0.51
"84","37.535","126.932","3.54","3",0.54
"85","37.535","126.943","3.49","2.86",0.63
"86","37.526","126.896","3.46","2.86",0.6
"87","37.517","126.896","3.43","2.83",0.6
"88","37.526","126.885","3.47","2.84",0.63
"89","37.535","126.897","3.5","2.93",0.57
"90","37.46","127.047","3.26","2.78",0.48
"91","37.46","127.058","3.19","2.88",0.31
"92","37.469","127.047","3.02","2.74",0.28
"93","37.469","127.058","3.27","3.02",0.25
"94","37.432","127.058","4.67","3.63",1.04
"95","37.432","127.069","4.03","3.32",0.71
"96","37.442","127.046","4.36","3.46",0.9
"97","37.442","127.058","4.17","3.23",0.94
"98","37.442","127.07","3.8","3.26",0.54
"99","37.451","127.046","3.85","2.96",0.89
"100","37.451","127.058","3.56","2.85",0.71
"101","37.451","127.07","3.5","3.02",0.48
"102","37.46","127.07","3.25","2.9",0.35
"103","37.497","127.036","3.22","2.78",0.44
"104","37.497","127.047","3.16","2.74",0.42
"105","37.506","127.036","3.18","2.79",0.39
"106","37.506","127.047","3.14","2.76",0.38
"107","37.545","126.885","3.51","2.91",0.6
"108","37.545","126.897","3.58","3.01",0.57
"109","37.554","126.885","3.56","3.02",0.54
"110","37.554","126.897","3.59","2.91",0.68
"111","37.498","126.908","3.33","2.78",0.55
"112","37.498","126.919","3.29","2.79",0.5
"113","37.508","126.908","3.36","2.83",0.53
"114","37.508","126.92","3.32","2.84",0.48
"115","37.489","126.908","3.3","2.79",0.51
"116","37.536","126.885","3.48","2.88",0.6
"117","37.507","126.943","3.25","2.92",0.33
"118","37.498","126.931","3.23","2.84",0.39
"119","37.498","126.943","3.27","2.95",0.32
"120","37.498","126.954","3.39","3.03",0.36
"121","37.507","126.931","3.27","2.85",0.42
"122","37.507","126.954","3.38","2.99",0.39
"123","37.516","126.954","3.35","2.99",0.36
"124","37.498","126.966","3.41","2.98",0.43
"125","37.507","126.966","3.41","2.95",0.46
"126","37.498","126.978","3.31","2.87",0.44
"127","37.507","126.978","3.33","2.98",0.35
"128","37.479","126.966","3.52","3",0.52
"129","37.479","126.977","3.43","2.87",0.56
"130","37.489","126.966","3.39","2.95",0.44
"131","37.489","126.977","3.27","2.85",0.42
"132","37.489","126.919","3.27","2.8",0.47
"133","37.461","126.93","3.77","3.16",0.61
"134","37.461","126.942","3.88","3.23",0.65
"135","37.461","126.954","3.78","3.38",0.4
"136","37.461","126.965","4.09","3.55",0.54
"137","37.471","126.931","3.36","2.94",0.42
"138","37.47","126.942","3.51","3.07",0.44
"139","37.47","126.954","3.61","3.16",0.45
"140","37.47","126.965","3.76","3.22",0.54
"141","37.48","126.931","3.22","2.86",0.36
"142","37.48","126.942","3.29","2.93",0.36
"143","37.48","126.954","3.43","3.04",0.39
"144","37.489","126.931","3.22","2.85",0.37
"145","37.489","126.942","3.24","2.95",0.29
"146","37.489","126.954","3.35","3",0.35
"147","37.443","126.942","4.54","3.87",0.67
"148","37.443","126.953","4.67","4.05",0.62
"149","37.452","126.93","4.2","3.59",0.61
"150","37.452","126.942","4.31","3.48",0.83
"151","37.452","126.953","4.17","3.58",0.59
"152","37.452","126.965","4.61","4.05",0.56
"153","37.471","126.919","3.28","2.92",0.36
"154","37.48","126.919","3.24","2.86",0.38
"155","37.461","126.977","4.48","3.51",0.970000000000001
"156","37.47","126.977","3.86","3.09",0.77
"157","37.461","126.989","4.01","3.23",0.78
"158","37.47","126.989","3.64","3.06",0.58
"159","37.47","127","3.54","3.18",0.36
"160","37.479","126.989","3.29","2.87",0.42
"161","37.479","127","3.41","3.03",0.38
"162","37.488","126.989","3.16","2.84",0.32
"163","37.488","127.001","3.23","2.88",0.35
"164","37.498","126.989","3.22","2.85",0.37
"165","37.498","127.001","3.25","2.84",0.41
"166","37.46","127.023","3.22","2.87",0.35
"167","37.46","127.035","3.26","2.72",0.54
"168","37.47","127.023","3.42","2.87",0.55
"169","37.47","127.035","3.08","2.62",0.46
"170","37.479","127.024","3.53","2.97",0.56
"171","37.479","127.035","3.17","2.73",0.44
"172","37.479","127.047","3.06","2.68",0.38
"173","37.506","127.059","3.12","2.71",0.41
"174","37.516","127.048","3.14","2.74",0.4
"175","37.515","127.059","3.11","2.7",0.41
"176","37.525","127.048","3.12","2.69",0.43
"177","37.525","127.059","3.15","2.75",0.4
"178","37.461","127.012","3.27","2.97",0.3
"179","37.47","127.012","3.62","3.18",0.44
"180","37.469","127.093","3.29","2.82",0.47
"181","37.469","127.105","3.24","2.7",0.54
"182","37.478","127.093","3.37","2.88",0.49
"183","37.478","127.105","3.22","2.7",0.52
"184","37.497","127.012","3.27","2.82",0.45
"185","37.497","127.024","3.26","2.79",0.47
"186","37.507","126.989","3.36","2.96",0.4
"187","37.507","127.001","3.35","2.84",0.51
"188","37.507","127.012","3.3","2.79",0.51
"189","37.507","127.024","3.24","2.8",0.44
"190","37.516","126.989","3.41","2.79",0.62
"191","37.516","127.001","3.37","2.83",0.54
"192","37.516","127.013","3.3","2.76",0.54
"193","37.516","127.024","3.22","2.79",0.43
"194","37.479","127.012","3.63","3.1",0.53
"195","37.488","127.012","3.36","2.89",0.47
"196","37.488","127.024","3.36","2.88",0.48
"197","37.488","127.035","3.22","2.81",0.41
"198","37.488","127.047","3.11","2.68",0.43
"199","37.451","127.081","3.75","3.2",0.55
"200","37.46","127.081","3.4","2.89",0.51
"201","37.46","127.093","3.53","2.92",0.61
"202","37.469","127.07","3.44","3.03",0.41
"203","37.469","127.082","3.31","2.89",0.42
"204","37.479","127.059","3.24","2.84",0.4
"205","37.478","127.07","3.49","2.98",0.51
"206","37.488","127.059","3.04","2.64",0.4
"207","37.488","127.07","3.17","2.74",0.43
"208","37.497","127.059","3.12","2.67",0.45
"209","37.497","127.071","3.12","2.64",0.48
"210","37.571","127.002","3.05","2.69",0.36
"211","37.506","127.071","3.12","2.65",0.47
"212","37.525","127.013","3.28","2.82",0.46
"213","37.525","127.024","3.22","2.74",0.48
"214","37.525","127.036","3.15","2.74",0.41
"215","37.516","127.036","3.17","2.8",0.37
"216","37.534","127.013","3.19","2.75",0.44
"217","37.534","127.025","3.18","2.72",0.46
"218","37.534","127.036","3.18","2.72",0.46
"219","37.506","127.082","3.13","2.62",0.51
"220","37.506","127.094","3.14","2.61",0.53
"221","37.515","127.071","3.14","2.66",0.48
"222","37.515","127.082","3.14","2.64",0.5
"223","37.515","127.094","3.13","2.62",0.51
"224","37.459","127.116","3.14","2.61",0.53
"225","37.469","127.117","3.14","2.59",0.55
"226","37.478","127.082","3.45","2.97",0.48
"227","37.488","127.082","3.31","2.85",0.46
"228","37.487","127.094","3.36","2.8",0.56
"229","37.497","127.082","3.13","2.65",0.48
"230","37.497","127.094","3.16","2.66",0.5
"231","37.59","127.025","2.93","2.56",0.37
"232","37.487","127.105","3.22","2.71",0.51
"233","37.515","127.106","3.09","2.58",0.51
"234","37.525","127.071","3.17","2.66",0.51
"235","37.524","127.083","3.16","2.65",0.51
"236","37.524","127.094","3.14","2.71",0.43
"237","37.524","127.106","3.12","2.61",0.51
"238","37.534","127.071","3.14","2.62",0.52
"239","37.534","127.083","3.14","2.62",0.52
"240","37.534","127.094","3.12","2.6",0.52
"241","37.533","127.106","3.11","2.62",0.49
"242","37.524","127.118","3.05","2.55",0.5
"243","37.533","127.118","3.05","2.54",0.51
"244","37.543","127.106","3.07","2.58",0.49
"245","37.542","127.118","3.03","2.52",0.51
"246","37.506","127.105","3.1","2.59",0.51
"247","37.506","127.117","3.03","2.58",0.45
"248","37.487","127.117","3.07","2.58",0.49
"249","37.487","127.128","2.96","2.53",0.43
"250","37.496","127.105","3.13","2.63",0.5
"251","37.496","127.117","3.05","2.59",0.46
"252","37.496","127.129","2.92","2.56",0.36
"253","37.478","127.117","3.1","2.57",0.53
"254","37.478","127.128","2.99","2.49",0.5
"255","37.469","127.128","3.01","2.48",0.53
"256","37.478","127.14","2.89","2.47",0.42
"257","37.487","127.14","2.89","2.52",0.37
"258","37.505","127.129","2.93","2.54",0.39
"259","37.505","127.14","2.87","2.48",0.39
"260","37.515","127.117","3.02","2.55",0.47
"261","37.515","127.129","2.94","2.5",0.44
"262","37.515","127.141","2.87","2.46",0.41
"263","37.524","127.129","2.96","2.5",0.46
"264","37.524","127.141","2.86","2.49",0.37
"265","37.487","127.152","2.84","2.58",0.26
"266","37.496","127.14","2.87","2.51",0.36
"267","37.496","127.152","2.79","2.53",0.26
"268","37.542","127.141","2.88","2.51",0.37
"269","37.542","127.153","2.85","2.55",0.3
"270","37.551","127.141","2.93","2.56",0.37
"271","37.551","127.153","2.87","2.56",0.31
"272","37.561","127.153","2.93","2.52",0.41
"273","37.56","127.165","2.9","2.53",0.37
"274","37.57","127.153","3","2.58",0.42
"275","37.57","127.165","2.99","2.53",0.46
"276","37.551","127.164","2.88","2.52",0.36
"277","37.551","127.176","2.81","2.5",0.31
"278","37.58","127.025","2.95","2.57",0.38
"279","37.581","126.979","3.17","2.84",0.33
"280","37.599","126.979","3.64","3.27",0.37
"281","37.599","126.991","3.58","3.07",0.51
"282","37.599","127.002","3.3","2.75",0.55
"283","37.599","127.014","3","2.57",0.43
"284","37.608","126.979","3.77","3.46",0.31
"285","37.608","126.991","3.71","3.13",0.58
"286","37.608","127.003","3.25","2.74",0.51
"287","37.608","127.014","2.88","2.49",0.39
"288","37.618","126.979","4.03","3.72",0.31
"289","37.618","126.991","3.93","3.32",0.61
"290","37.617","127.003","3.33","2.77",0.56
"291","37.617","127.014","2.85","2.48",0.37
"292","37.627","126.979","4.65","4.18",0.470000000000001
"293","37.627","126.991","4.38","3.6",0.78
"294","37.627","127.003","3.58","2.88",0.7
"295","37.627","127.014","2.94","2.45",0.49
"296","37.636","126.991","4.7","3.73",0.97
"297","37.636","127.003","3.72","2.84",0.88
"298","37.636","127.015","2.91","2.36",0.55
"299","37.608","127.026","2.77","2.44",0.33
"300","37.533","127.141","2.86","2.51",0.35
"301","37.533","127.152","2.82","2.55",0.27
"302","37.552","127.118","2.96","2.63",0.33
"303","37.552","127.13","2.98","2.54",0.44
"304","37.561","127.13","2.94","2.54",0.4
"305","37.561","127.141","2.98","2.52",0.46
"306","37.533","127.129","2.96","2.51",0.45
"307","37.542","127.129","2.96","2.49",0.47
"308","37.56","127.176","2.89","2.53",0.36
"309","37.569","127.176","2.96","2.55",0.41
"310","37.562","126.967","3.18","2.84",0.34
"311","37.571","127.072","2.92","2.44",0.48
"312","37.571","127.083","2.89","2.66",0.23
"313","37.57","127.095","3.26","3.09",0.17
"314","37.58","127.072","2.9","2.42",0.48
"315","37.58","127.084","2.86","2.51",0.35
"316","37.58","127.095","3.2","2.92",0.28
"317","37.589","127.072","2.85","2.39",0.46
"318","37.589","127.084","2.82","2.39",0.43
"319","37.589","127.095","2.86","2.62",0.24
"320","37.589","127.107","3.37","2.91",0.46
"321","37.598","127.072","2.77","2.37",0.4
"322","37.598","127.084","2.79","2.41",0.38
"323","37.598","127.095","2.77","2.52",0.25
"324","37.608","127.072","2.71","2.37",0.34
"325","37.607","127.084","2.77","2.43",0.34
"326","37.553","127.036","3.03","2.56",0.47
"327","37.59","127.002","3.2","2.78",0.42
"328","37.59","127.014","3.02","2.63",0.39
"329","37.599","127.026","2.88","2.51",0.37
"330","37.553","127.025","3.02","2.64",0.38
"331","37.543","127.025","3.1","2.61",0.49
"332","37.544","127.013","3.17","2.74",0.43
"333","37.534","127.048","3.18","2.65",0.53
"334","37.543","127.036","3.13","2.55",0.58
"335","37.543","127.048","3.13","2.53",0.6
"336","37.552","127.048","3.03","2.5",0.53
"337","37.534","127.059","3.15","2.62",0.53
"338","37.543","127.06","3.1","2.55",0.55
"339","37.552","127.06","3.01","2.5",0.51
"340","37.552","127.071","3.01","2.55",0.46
"341","37.562","127.048","2.95","2.49",0.46
"342","37.562","127.06","2.95","2.47",0.48
"343","37.561","127.072","2.96","2.48",0.48
"344","37.571","127.048","2.91","2.48",0.43
"345","37.571","127.06","2.92","2.47",0.45
"346","37.561","127.083","2.97","2.65",0.32
"347","37.561","127.095","3.07","2.9",0.17
"348","37.552","127.083","3.03","2.63",0.4
"349","37.543","127.083","3.09","2.63",0.46
"350","37.543","127.094","3.09","2.62",0.47
"351","37.552","127.095","3.02","2.71",0.31
"352","37.552","127.106","2.99","2.66",0.33
"353","37.543","127.071","3.09","2.6",0.49
"354","37.571","127.025","2.97","2.59",0.38
"355","37.571","127.037","2.92","2.51",0.41
"356","37.58","127.037","2.9","2.48",0.42
"357","37.589","127.037","2.84","2.5",0.34
"358","37.58","127.049","2.89","2.47",0.42
"359","37.58","127.06","2.9","2.47",0.43
"360","37.589","127.049","2.83","2.49",0.34
"361","37.599","127.049","2.8","2.44",0.36
"362","37.617","127.073","2.69","2.36",0.33
"363","37.617","127.084","2.73","2.39",0.34
"364","37.598","127.107","3.06","2.72",0.34
"365","37.607","127.096","2.76","2.44",0.32
"366","37.607","127.107","2.89","2.62",0.27
"367","37.617","127.096","2.71","2.4",0.31
"368","37.616","127.107","2.81","2.55",0.26
"369","37.59","126.991","3.32","2.95",0.37
"370","37.599","127.037","2.81","2.47",0.34
"371","37.608","127.037","2.73","2.4",0.33
"372","37.608","127.049","2.7","2.36",0.34
"373","37.608","127.061","2.66","2.33",0.33
"374","37.617","127.049","2.6","2.3",0.3
"375","37.617","127.061","2.62","2.3",0.32
"376","37.617","127.026","2.68","2.37",0.31
"377","37.617","127.037","2.64","2.34",0.3
"378","37.626","127.026","2.64","2.29",0.35
"379","37.626","127.038","2.56","2.29",0.27
"380","37.626","127.049","2.55","2.3",0.25
"381","37.636","127.026","2.54","2.24",0.3
"382","37.636","127.038","2.49","2.27",0.22
"383","37.635","127.049","2.54","2.29",0.25
"384","37.645","126.991","4.8","3.74",1.06
"385","37.645","127.003","3.63","2.73",0.9
"386","37.645","127.015","2.77","2.33",0.44
"387","37.645","127.026","2.49","2.29",0.2
"388","37.655","126.992","5.08","3.91",1.17
"389","37.654","127.003","3.62","2.76",0.86
"390","37.654","127.015","2.76","2.39",0.37
"391","37.664","126.992","5.29","4.11",1.18
"392","37.664","127.003","3.85","3.02",0.83
"393","37.664","127.015","2.88","2.53",0.35
"394","37.673","127.004","4.15","3.37",0.78
"395","37.673","127.015","3.16","2.85",0.31
"396","37.682","127.004","4.32","3.76",0.56
"397","37.682","127.015","3.63","3.28",0.35
"398","37.645","127.038","2.52","2.31",0.21
"399","37.654","127.026","2.58","2.35",0.23
"400","37.654","127.038","2.58","2.35",0.23
"401","37.663","127.027","2.68","2.44",0.24
"402","37.663","127.038","2.64","2.42",0.22
"403","37.663","127.05","2.65","2.42",0.23
"404","37.673","127.027","2.92","2.64",0.28
"405","37.672","127.038","2.79","2.54",0.25
"406","37.672","127.05","2.75","2.57",0.18
"407","37.645","127.05","2.55","2.3",0.25
"408","37.654","127.05","2.57","2.32",0.25
"409","37.682","127.027","3.25","2.84",0.41
"410","37.682","127.039","3","2.7",0.3
"411","37.682","127.05","2.93","2.72",0.21
"412","37.691","127.015","4.41","3.98",0.43
"413","37.691","127.027","3.74","3.22",0.52
"414","37.691","127.039","3.23","2.87",0.36
"415","37.7","127.016","5.19","4.53",0.66
"416","37.7","127.027","4.64","3.76",0.88
"417","37.626","127.061","2.6","2.3",0.3
"418","37.635","127.061","2.58","2.3",0.28
"419","37.626","127.073","2.67","2.34",0.33
"420","37.626","127.084","2.69","2.37",0.32
"421","37.626","127.096","2.68","2.38",0.3
"422","37.635","127.073","2.62","2.31",0.31
"423","37.635","127.084","2.65","2.38",0.27
"424","37.635","127.096","2.72","2.44",0.28
"425","37.635","127.108","2.73","2.43",0.3
"426","37.644","127.073","2.58","2.31",0.27
"427","37.644","127.085","2.63","2.45",0.18
"428","37.644","127.096","2.84","2.57",0.27
"429","37.644","127.108","2.78","2.46",0.32
"430","37.645","127.061","2.58","2.31",0.27
"431","37.654","127.062","2.62","2.31",0.31
"432","37.654","127.073","2.57","2.33",0.24
"433","37.654","127.085","2.7","2.69",0.0100000000000002
"434","37.663","127.062","2.68","2.39",0.29
"435","37.663","127.073","2.57","2.37",0.2
"436","37.663","127.085","2.86","2.84",0.02
"437","37.672","127.062","2.76","2.6",0.16
"438","37.672","127.073","2.76","2.61",0.15
"439","37.672","127.085","2.96","2.82",0.14
"440","37.681","127.062","2.99","2.83",0.16
"441","37.681","127.074","3.18","3.09",0.0900000000000003
"442","37.681","127.085","3.28","3.09",0.19
"443","37.691","127.062","3.14","2.84",0.3
"444","37.691","127.074","3.52","3.38",0.14
"445","37.69","127.085","3.96","3.62",0.34
"446","37.582","126.886","3.4","2.86",0.54
"447","37.582","126.897","3.37","2.84",0.53
"448","37.6","126.921","3.25","2.88",0.37
"449","37.6","126.933","3.28","2.95",0.33
"450","37.6","126.944","3.34","2.96",0.38
"451","37.609","126.921","3.22","2.84",0.38
"452","37.609","126.933","3.25","3.04",0.21
"453","37.609","126.944","3.39","3.2",0.19
"454","37.618","126.909","3.19","2.84",0.35
"455","37.618","126.921","3.13","2.83",0.3
"456","37.628","126.91","3.29","2.93",0.36
"457","37.627","126.921","3.27","2.88",0.39
"458","37.618","126.933","3.25","3.11",0.14
"459","37.618","126.944","3.69","3.63",0.0600000000000001
"460","37.627","126.933","3.31","3.04",0.27
"461","37.627","126.945","3.88","3.59",0.29
"462","37.609","126.909","3.18","2.8",0.38
"463","37.591","126.921","3.27","2.91",0.36
"464","37.59","126.932","3.34","2.95",0.39
"465","37.6","126.909","3.23","2.83",0.4
"466","37.591","126.909","3.24","2.87",0.37
"467","37.581","126.909","3.33","2.85",0.48
"468","37.627","126.956","4.56","4.14",0.42
"469","37.637","126.921","3.3","2.77",0.53
"470","37.637","126.933","3.25","2.81",0.44
"471","37.637","126.945","3.54","3.12",0.42
"472","37.636","126.956","4.26","3.86",0.4
"473","37.646","126.933","3.03","2.64",0.39
"474","37.646","126.945","3.16","2.82",0.34
"475","37.646","126.956","3.65","3.39",0.26
"476","37.655","126.945","2.98","2.7",0.28
"477","37.572","126.944","3.47","3.15",0.32
"478","37.572","126.955","3.49","3.1",0.39
"479","37.544","126.943","3.42","2.87",0.55
"480","37.563","126.955","3.32","2.94",0.38
"481","37.581","126.944","3.57","3.24",0.33
"482","37.581","126.955","3.69","3.19",0.5
"483","37.59","126.944","3.48","3.09",0.39
"484","37.59","126.956","3.66","3.17",0.49
"485","37.563","126.943","3.37","3.03",0.34
"486","37.553","126.943","3.33","2.94",0.39
"487","37.563","126.92","3.44","2.9",0.54
"488","37.563","126.932","3.38","2.99",0.39
"489","37.572","126.92","3.38","2.9",0.48
"490","37.572","126.932","3.32","3.05",0.27
"491","37.581","126.921","3.32","2.91",0.41
"492","37.581","126.932","3.34","3.05",0.29
"493","37.599","126.956","3.46","3.1",0.36
"494","37.609","126.956","3.47","3.2",0.27
"495","37.572","126.909","3.4","2.88",0.52
"496","37.553","126.955","3.27","2.86",0.41
"497","37.544","126.955","3.31","2.82",0.49
"498","37.544","126.932","3.53","2.89",0.64
"499","37.554","126.932","3.42","2.95",0.47
"500","37.544","126.92","3.57","2.9",0.67
"501","37.554","126.909","3.57","2.89",0.68
"502","37.554","126.92","3.5","2.9",0.6
"503","37.545","126.908","3.6","2.91",0.69
"504","37.563","126.897","3.53","2.89",0.64
"505","37.563","126.909","3.48","2.89",0.59
"506","37.572","126.897","3.44","2.87",0.57
"507","37.554","126.862","3.51","2.95",0.56
"508","37.554","126.874","3.5","2.95",0.55
"509","37.563","126.862","3.58","2.96",0.62
"510","37.563","126.874","3.55","3.06",0.49
"511","37.563","126.885","3.56","2.91",0.65
"512","37.573","126.862","3.63","2.96",0.67
"513","37.573","126.874","3.56","3.03",0.53
"514","37.572","126.885","3.5","2.96",0.54
"515","37.508","126.838","3.53","3.04",0.49
"516","37.518","126.827","3.59","3.09",0.5
"517","37.517","126.838","3.53","3.02",0.51
"518","37.517","126.85","3.4","2.91",0.49
"519","37.517","126.862","3.47","2.86",0.61
"520","37.517","126.873","3.47","2.81",0.66
"521","37.527","126.838","3.43","2.95",0.48
"522","37.527","126.85","3.45","2.92",0.53
"523","37.527","126.862","3.47","2.87",0.6
"524","37.526","126.873","3.47","2.84",0.63
"525","37.536","126.873","3.46","2.88",0.58
"526","37.545","126.873","3.46","2.92",0.54
"527","37.536","126.827","3.53","2.97",0.56
"528","37.536","126.838","3.48","2.96",0.52
"529","37.536","126.85","3.46","2.97",0.49
"530","37.545","126.839","3.5","2.99",0.51
"531","37.545","126.85","3.46","2.99",0.47
"532","37.536","126.862","3.45","2.93",0.52
"533","37.545","126.862","3.45","2.96",0.49
"534","37.554","126.85","3.53","2.97",0.56
"535","37.564","126.851","3.61","3",0.61
"536","37.573","126.851","3.67","3.05",0.62
"537","37.581","127.002","3.09","2.74",0.35
"538","37.571","127.013","2.99","2.66",0.33
"539","37.58","127.014","3.01","2.67",0.34
"540","37.609","126.967","3.56","3.31",0.25
"541","37.618","126.956","3.97","3.78",0.19
"542","37.618","126.968","3.91","3.72",0.19
"543","37.627","126.968","4.66","4.32",0.34
"544","37.599","126.967","3.6","3.27",0.33
"545","37.562","126.979","3.18","2.83",0.35
"546","37.553","126.99","3.36","2.94",0.42
"547","37.562","126.99","3.29","2.8",0.49
"548","37.562","127.002","3.2","2.71",0.49
"549","37.553","127.002","3.36","2.85",0.51
"550","37.553","127.013","3.17","2.71",0.46
"551","37.562","127.013","3.05","2.67",0.38
"552","37.562","127.025","3.03","2.65",0.38
"553","37.553","126.978","3.19","2.9",0.29
"554","37.535","126.99","3.26","2.84",0.42
"555","37.544","126.99","3.23","2.91",0.32
"556","37.535","126.978","3.29","2.79",0.5
"557","37.544","126.978","3.19","2.86",0.33
"558","37.553","126.967","3.19","2.8",0.39
"559","37.544","126.967","3.24","2.79",0.45
"560","37.535","126.966","3.34","2.78",0.56
"561","37.535","126.955","3.41","2.81",0.6
"562","37.525","126.978","3.38","2.79",0.59
"563","37.526","126.955","3.46","2.84",0.62
"564","37.526","126.966","3.43","2.8",0.63
"565","37.516","126.966","3.4","2.87",0.53
"566","37.516","126.978","3.4","2.82",0.58
"567","37.525","127.001","3.32","2.77",0.55
"568","37.534","127.001","3.22","2.83",0.39
"569","37.544","127.001","3.27","2.87",0.4
"570","37.525","126.99","3.35","2.8",0.55
"571","37.562","127.037","2.95","2.56",0.39
"572","37.589","127.06","2.84","2.45",0.39
"573","37.598","127.061","2.77","2.4",0.37
